rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P51900006593,Crescent Bay - T4,L&T Parel Project LLP (JV with ORDPL),Ward FSouth,Mumbai City,400012,MAHARASHTRA,2018-01-29,maharera
P52000006799,FLORENCE TOWN,BRIGHT DEVELOPERS,Karjat,Raigarh,410201,MAHARASHTRA,2026-06-12,maharera
P52100001239,"Westernhills Phase 2 - B, C, D, E Buildings",High Seas Properties Private Limited,Mulshi,Pune,411021,MAHARASHTRA,2017-07-27,maharera
P52100001211,"Pristine Pacific H , I",MELANGE DEVELOPERS,Pune City,Pune,411046,MAHARASHTRA,2017-07-27,maharera
P51900004544,Crescent Bay - T5,L&T Parel Project LLP (JV with ORDPL),Ward FSouth,Mumbai City,400012,MAHARASHTRA,2018-01-29,maharera
P52100001873,UTSAV HOMES - BHOSARI - PHASE 2,PRIMESPACE REALTY GROUP,Haveli,Pune,411039,MAHARASHTRA,2018-09-24,maharera
P51800002724,Kush Prestige,Kush Buildcon LLP,Andheri,Mumbai Suburban,400053,MAHARASHTRA,2017-08-04,maharera
P51700006127,THARWANI ARIANA PHASE II,ANIL HARDASMAL THARWANI,Ambarnath,Thane,421501,MAHARASHTRA,2017-09-12,maharera
P52100001737,TCG COROLLA,THE CONSTRUCTION & DEVELOPMENT COMPANY,Pune City,Pune,411030,MAHARASHTRA,2017-07-29,maharera
P52100001586,Mont Vert Vivant,Patel Associates,Mulshi,Pune,411057,MAHARASHTRA,2017-07-29,maharera
P51900004666,Crescent Bay - T6,L&T Parel Project LLP (JV with ORDPL),Ward FSouth,Mumbai City,400012,MAHARASHTRA,2020-06-14,maharera
P51900010178,Crescent Bay - T2,L&T Parel Project LLP (JV with ORDPL),Ward FSouth,Mumbai City,400012,MAHARASHTRA,2018-01-30,maharera
P51900000839,Hubtown Vedant Ground to 2nd Floor,Citywood Builders Pvt.Ltd.,Mumbai City,Mumbai City,400037,MAHARASHTRA,2017-07-23,maharera
P51700006728,THARWANI ARIANA PHASE III,ANIL HARDASMAL THARWANI,Ambarnath,Thane,421501,MAHARASHTRA,2017-09-12,maharera
P52100001472,MANTRA ESSENCE PHASE 3,MANTRA GREENS PRIVATE LIMITED,Haveli,Pune,411028,MAHARASHTRA,2017-07-28,maharera
P51700007834,THARWANI ARIANA PHASE IV,ANIL HARDASMAL THARWANI,Ambarnath,Thane,421501,MAHARASHTRA,2017-09-12,maharera
P52100002682,Life Republic Sector R2 - 2nd Avenue,KOLTE-PATIL INTEGRATED TOWNSHIPS LIMITED,Mulshi,Pune,411057,MAHARASHTRA,2020-06-13,maharera
P51800002133,Boulevard Tower 4,Acme Realties Private Limited,Andheri,Mumbai Suburban,400060,MAHARASHTRA,2026-04-14,maharera
P51800004364,Dineshkunj CHS Ltd,Swastik Realty Pvt Ltd,Borivali,Mumbai Suburban,400062,MAHARASHTRA,2020-11-13,maharera
P52100001614,GILT RESIDENCES,SAMRAT SPACES,Pune City,Pune,411013,MAHARASHTRA,2018-10-12,maharera
P51800001238,Oasis - Tower 2,Acme Housing India Private Limited,Borivali,Mumbai Suburban,400101,MAHARASHTRA,2021-09-09,maharera
P52100005379,Sukh Vastu,A V Bhat Builders Pvt Ltd,Haveli,Pune,412205,MAHARASHTRA,2017-08-11,maharera
P51700000847,Iris,HIRANANDANI PROPERTIES PRIVATE LIMITED,Thane,Thane,400610,MAHARASHTRA,2017-07-23,maharera
P51800002383,Veda,Srujan Development and Construction Division,Andheri,Mumbai Suburban,400069,MAHARASHTRA,2023-12-27,maharera
P52100001642,NIRVANA ZEN,Nirvana Developers,Haveli,Pune,411014,MAHARASHTRA,2019-03-13,maharera
P52100002988,ADITYA VIHAR,ADITYA ASSOCIATES,Mawal,Pune,410507,MAHARASHTRA,2017-08-04,maharera
P51700001032,Dandelia,Acme Housing India Private Limited,Thane,Thane,400607,MAHARASHTRA,2017-07-25,maharera
P51700001038,Herbelia,Acme Housing India Private Limited,Thane,Thane,400607,MAHARASHTRA,2023-01-03,maharera
P52100002700,Undri City Centre,UKT Constructions,Haveli,Pune,411028,MAHARASHTRA,2020-06-17,maharera
P52100002475,SHUBHKALASH B WING,Tulip Developers,Haveli,Pune,411062,MAHARASHTRA,2021-09-09,maharera
P51700001033,Gingelia Residential,Acme Housing India Private Limited,Thane,Thane,400607,MAHARASHTRA,2023-01-20,maharera
P52700002904,POOJA RESIDENCY,VIJAY RANGNATH SHENDURKAR,Satara,Satara,415002,MAHARASHTRA,2017-08-04,maharera
P52100002431,KUSUM KUNJ,KUSUM ASSOCIATES,Haveli,Pune,412307,MAHARASHTRA,2020-01-06,maharera
P51800000731,EKTA TRIPOLIS PHASE II,EKTA EVERGLADE HOMES PRIVATE LIMITED,Borivali,Mumbai Suburban,400104,MAHARASHTRA,2024-10-08,maharera
P52100002401,ONENESS,NIRVAAN COS ASSOCIATES,Mulshi,Pune,411057,MAHARASHTRA,2020-06-16,maharera
P52100001676,Anika Enclave,Arun Pitamber Sheth,Pune City,Pune,411052,MAHARASHTRA,2017-07-29,maharera
