building_id,landmark_id,distance_m,walking_min,building_name,landmark_name
887,LM-010,265,3,Gurukrupa Nirmalam,Bandra Kurla Complex
888,LM-010,265,3,Hallmark Business Plaza,Bandra Kurla Complex
889,LM-010,265,3,Hubtown Sunstone,Bandra Kurla Complex
890,LM-010,265,3,Jade Gardens,Bandra Kurla Complex
891,LM-010,265,3,Jagat Vidya,Bandra Kurla Complex
892,LM-010,265,3,Kalpataru Magnus,Bandra Kurla Complex
893,LM-010,265,3,Kalpataru Sparkle,Bandra Kurla Complex
894,LM-010,265,3,Kanakia Paris,Bandra Kurla Complex
895,LM-010,265,3,Keshava,Bandra Kurla Complex
896,LM-010,265,3,Mitra Parivaar,Bandra Kurla Complex
897,LM-010,265,3,Monarch,Bandra Kurla Complex
898,LM-010,265,3,Naman,Bandra Kurla Complex
899,LM-010,265,3,Nyay Sagar,Bandra Kurla Complex
900,LM-010,265,3,Parinee Crescenzo,Bandra Kurla Complex
901,LM-010,265,3,Pinnacle Corporate Park,Bandra Kurla Complex
902,LM-010,265,3,RNA Azzure,Bandra Kurla Complex
903,LM-010,265,3,Ramaa Krishna,Bandra Kurla Complex
904,LM-010,265,3,Rustomjee Cleon,Bandra Kurla Complex
905,LM-010,265,3,Rustomjee Erika,Bandra Kurla Complex
906,LM-010,265,3,Rustomjee Oriana,Bandra Kurla Complex
907,LM-010,265,3,Rustomjee Prive,Bandra Kurla Complex
908,LM-010,265,3,Rustomjee Seasons,Bandra Kurla Complex
909,LM-010,265,3,Rustomjee Stella,Bandra Kurla Complex
910,LM-010,265,3,Sangam Nero,Bandra Kurla Complex
911,LM-010,265,3,Serendipity,Bandra Kurla Complex
912,LM-010,265,3,Sethia Grandeur,Bandra Kurla Complex
913,LM-010,265,3,Shakti Sadan,Bandra Kurla Complex
914,LM-010,265,3,Shapoorji Pallonji,Bandra Kurla Complex
915,LM-010,265,3,Signature Island,Bandra Kurla Complex
916,LM-010,265,3,Signia Isles,Bandra Kurla Complex
917,LM-010,265,3,Signia Pearl,Bandra Kurla Complex
918,LM-010,265,3,Sunteck Pearl,Bandra Kurla Complex
919,LM-010,265,3,Address By GS,Bandra Kurla Complex
920,LM-010,265,3,Trade Centre,Bandra Kurla Complex
921,LM-010,265,3,Vaibhav Chambers,Bandra Kurla Complex
922,LM-010,265,3,Vaibhav Chember,Bandra Kurla Complex
923,LM-010,265,3,Vaibhavlaxmi,Bandra Kurla Complex
924,LM-010,265,3,Vaibhavlaxmi Address51,Bandra Kurla Complex
925,LM-010,265,3,Wahedna Apartment,Bandra Kurla Complex
926,LM-010,265,3,X BKC,Bandra Kurla Complex
3550,LM-056,277,3,64 Greens,Santacruz Station
3551,LM-056,277,3,81 Crest,Santacruz Station
3552,LM-056,277,3,AP Cosmos,Santacruz Station
3553,LM-056,277,3,Acharat Baug,Santacruz Station
3554,LM-056,277,3,Anand Bhavan,Santacruz Station
3555,LM-056,277,3,Anand Bhuvan,Santacruz Station
3556,LM-056,277,3,Anand Bhuwan,Santacruz Station
3557,LM-056,277,3,Anand Villa,Santacruz Station
3558,LM-056,277,3,Ariisto Sapphire,Santacruz Station
3559,LM-056,277,3,Arkade Aura,Santacruz Station
3560,LM-056,277,3,Arsha Villa,Santacruz Station
3561,LM-056,277,3,Artteza,Santacruz Station
3562,LM-056,277,3,Arvasu,Santacruz Station
3563,LM-056,277,3,Ashiana,Santacruz Station
3564,LM-056,277,3,Atlanta,Santacruz Station
3565,LM-056,277,3,Aum Sequoia,Santacruz Station
3566,LM-056,277,3,Avanti,Santacruz Station
3567,LM-056,277,3,Avanti Society,Santacruz Station
3568,LM-056,277,3,Ave Maria,Santacruz Station
3569,LM-056,277,3,Avenue 14 For Lease At Dadar East,Santacruz Station
3570,LM-056,277,3,Balaji Tower,Santacruz Station
3571,LM-056,277,3,Balkrishna Apartment,Santacruz Station
3572,LM-056,277,3,Beacon,Santacruz Station
3573,LM-056,277,3,Bhagtani Pearl,Santacruz Station
3574,LM-056,277,3,Bombino Apartments,Santacruz Station
3575,LM-056,277,3,Business Suites 9,Santacruz Station
3576,LM-056,277,3,Casa Bianca,Santacruz Station
3577,LM-056,277,3,Casablanca,Santacruz Station
3578,LM-056,277,3,Central Avenue,Santacruz Station
3579,LM-056,277,3,Chamunda Niwas,Santacruz Station
3580,LM-056,277,3,Chandak 69,Santacruz Station
3581,LM-056,277,3,Chitra Apartments,Santacruz Station
3582,LM-056,277,3,Commerz 54,Santacruz Station
3583,LM-056,277,3,Cosmos,Santacruz Station
3584,LM-056,277,3,DLH Dawn,Santacruz Station
3585,LM-056,277,3,Darshan Smruti,Santacruz Station
3586,LM-056,277,3,Del House,Santacruz Station
3587,LM-056,277,3,Dheeraj Heritage,Santacruz Station
3588,LM-056,277,3,Dheeraj Serenity,Santacruz Station
3589,LM-056,277,3,Diamond Palace,Santacruz Station
3590,LM-056,277,3,Dream Queen,Santacruz Station
3591,LM-056,277,3,Dwarka,Santacruz Station
3592,LM-056,277,3,Ekam,Santacruz Station
3593,LM-056,277,3,Ekta Trinity,Santacruz Station
3594,LM-056,277,3,Elite Simran,Santacruz Station
3595,LM-056,277,3,Exclusive,Santacruz Station
3596,LM-056,277,3,Fairwinds,Santacruz Station
3597,LM-056,277,3,Fernvel,Santacruz Station
3598,LM-056,277,3,Garden King,Santacruz Station
3599,LM-056,277,3,Geetanjali,Santacruz Station
3600,LM-056,277,3,Girnar Society,Santacruz Station
3601,LM-056,277,3,Gladhurst,Santacruz Station
3602,LM-056,277,3,Goghari Mansion,Santacruz Station
3603,LM-056,277,3,Gokul Mohan,Santacruz Station
3604,LM-056,277,3,Gokul Sangeet,Santacruz Station
3605,LM-056,277,3,Gokul Shushma,Santacruz Station
3606,LM-056,277,3,Grandeur,Santacruz Station
3607,LM-056,277,3,Greenfield,Santacruz Station
3608,LM-056,277,3,Haripreet,Santacruz Station
3609,LM-056,277,3,Heimat,Santacruz Station
3610,LM-056,277,3,Holly Hock,Santacruz Station
3611,LM-056,277,3,Jai View,Santacruz Station
3612,LM-056,277,3,Jeevan Sona,Santacruz Station
3613,LM-056,277,3,Juhu Breeze CHS,Santacruz Station
3614,LM-056,277,3,Jyoti,Santacruz Station
3615,LM-056,277,3,K L Mehrise,Santacruz Station
3616,LM-056,277,3,Kakad Mansion,Santacruz Station
3617,LM-056,277,3,Kala Kunj CHS Ltd,Santacruz Station
3618,LM-056,277,3,Kalpana,Santacruz Station
3619,LM-056,277,3,Kalpataru Imperia,Santacruz Station
3620,LM-056,277,3,Kamla Space,Santacruz Station
3621,LM-056,277,3,Kamleshwar,Santacruz Station
3622,LM-056,277,3,Khira Nagar,Santacruz Station
3623,LM-056,277,3,Krimson Aurum,Santacruz Station
3624,LM-056,277,3,Krishna Heritage,Santacruz Station
3625,LM-056,277,3,Landmark,Santacruz Station
3626,LM-056,277,3,Laxmi Narayan,Santacruz Station
3627,LM-056,277,3,Le Chateau,Santacruz Station
3628,LM-056,277,3,Le Repos,Santacruz Station
3629,LM-056,277,3,Leocadia,Santacruz Station
3630,LM-056,277,3,Link Palace,Santacruz Station
