building_id,canonical_name,alias
2963,Prestige Ocean,Prestige Ocean Towers
3063,Kalpataru Elitus,Kalpataru Elitus
3075,Kalpataru Elitus Mulund West,Kalpataru Elitus Mulund Weast
3078,LandT Rejuve,L&T Rejuve 360
3093,Runwal Chestnut,Runwal
3094,Runwal Greens,Runwal
3095,Runwal Pinnacle,Runwal
3101,Blue Diamond,The Blue Diamond
3102,Gateway,The Gateway
3104,Wadhwa Atmosphere,Wadhwa Atmosphere O2
3120,Dalamal Tower,Dalamal Tower
3125,Mittal Tower,Mittal Tower
3135,Arun,Arun Building
3165,Shripal Nagar,Shripal Nagar Building
3172,Signature,The Signature
3176,Panchratna,Panchratna Building
3178,Indra Darshan,Indradarshan
3192,Arihant Apartment,Arihant
3193,Ashok Tower,Ashok Tower
3209,LandT Crescent Bay,L&T Crescent Bay
3209,LandT Crescent Bay,"LandT Crescent Bay, Parel"
3220,Prarthana Heights,Prathana Heights
3227,Runwal Nirvana,Runwal Nirwana
3236,Vardhaman Estate,Vardhman Estate
3239,Alpana,Alpana
3284,Eden,Eden Building
3325,Kanakia Silicon Valley,Kanakia Silicon Valley Tower-C
3328,LandT Elixir Reserve,L&T Elixir Reserve
3329,LandT Emerald Isle,L&T Emerald Isle
3329,LandT Emerald Isle,LandT Emerald Isle
3330,LandT Veridian,L&T Veridian
3330,LandT Veridian,LandT Veridian Powai
3339,"Lnt Emerald Isle and Vedician, Powai","Lnt Emerald Isle & Vedician, Powai"
3340,Lodha Bellagio,Lodha Bellagio Tower C
3364,Raheja Ascencio,Raheja Ascensio
3376,Sahil Exotica Chandivali,Sahil Exotica – Chandivali
3401,Water Lily and White Lily,Water Lily & White Lily
3408,25 South,25 South Tower
3414,Bay View Terraces,Bayview Terraces
3419,Chaitanya Tower,Chaitanya Tower
3422,Cosmo Majestic,Cosmos Majestic
3438,Kuber Tower,Kuber Tower
3445,Majestic Tower,Majestic
3446,Mamta,Mamta Apartment
3467,Rustomjee Crown,Rustomjee Crown Tower A
3467,Rustomjee Crown,Rustomjee Crown Tower B
3467,Rustomjee Crown,Rustomjee Crown Tower C
3480,Sumer Trinity,Summer Trinity
3489,Twin Tower,Twin Tower
3490,Udhyan Darshan,Udyan Darshan
3504,AP Ekam,AP Ekam
3505,Chitra,Chitra
3506,Shalaka,Shalaka
3507,White Lotus,White Lotus
3536,Prasanna Ashiana CHS,Prasanna Ashiana Chsl
3558,Ariisto Sapphire,Aristo Sapphire
3575,Business Suites 9,Business Suites 9
3587,Dheeraj Heritage,Dheeraj Heritage
3591,Dwarka,Dwarka Building
3605,Gokul Shushma,Gokul Sushma
3657,New Diamond Palace,New Diamond Palace Building
3682,Prakash,Prakash Building
3686,Prem Sagar,Prem Sagar
3705,Sailesh,Sailesh Building
3721,Serenity Tower,Serenity Tower
3738,Designate,The Designate
3755,Woodstock Garden,Woodstock Gardens
3759,Celestia Space,Celestia Spaces
3763,LandT Crescent Bay,L&T Crescent Bay
3770,Arihant,Arihant Residency
